ITEM,COORD_Y,COORD_X,COORD_Z,Descrição
1,9262741.884,800809.029,-363.278,BORDO a
2,9262741.374,800809.868,-363.330,BORDO b
3,9262742.161,800811.936,-363.235,BORDO
4,9262743.102,800812.151,-363.228,BORDO
5,9262738.958,800824.921,-363.500,BORDO
6,9262738.240,800824.699,-363.544,BORDO
7,9262733.699,800838.023,-363.654,BORDO
8,9262734.458,800838.327,-363.778,BORDO j
9,9262730.422,800851.606,-363.803,BORDO
10,9262729.566,800851.336,-363.883,BORDO
11,9262722.412,800873.172,-364.053,BORDO
12,9262723.589,800873.529,-364.160,BORDO
13,9262718.225,800889.866,-363.966,BORDO
14,9262717.514,800889.608,-364.006,BORDO
15,9262709.090,800916.207,-364.222,BORDO
16,9262709.900,800916.499,-364.237,BORDO
17,9262702.920,800939.205,-364.852,BORDO
18,9262702.080,800938.934,-364.913,BORDO
19,9262695.354,800959.574,-365.494,BORDO
20,9262695.410,800959.591,-365.498,BORDO
21,9262696.273,800959.906,-365.452,BORDO
22,9262685.794,800993.616,-366.789,BORDO
23,9262684.851,800993.310,-366.845,BORDO
24,9262675.202,801024.021,-368.207,BORDO
25,9262675.998,801024.246,-368.166,BORDO
26,9262668.511,801047.930,-369.149,BORDO
27,9262667.836,801047.739,-369.199,BORDO
28,9262657.476,801079.613,-370.249,BORDO
29,9262658.346,801079.895,-370.234,BORDO
30,9262651.478,801102.579,-370.641,BORDO
31,9262650.541,801102.273,-370.769,BORDO
32,9262643.779,801125.125,-371.287,BORDO
33,9262644.259,801125.262,-371.252,BORDO
34,9262733.613,800806.114,-363.729,BORDO
35,9262732.993,800806.724,-363.761,BORDO
36,9262707.836,800798.204,-364.848,BORDO
37,9262708.220,800797.333,-364.784,BORDO
38,9262693.300,800793.318,-365.051,BORDO
39,9262693.634,800792.365,-365.078,BORDO
40,9262681.474,800787.758,-364.604,BORDO
41,9262681.854,800786.986,-364.669,BORDO
42,9262671.137,800782.058,-364.314,BORDO
43,9262671.618,800781.404,-364.275,BORDO
44,9262655.737,800774.577,-363.080,BORDO
45,9262656.052,800773.824,-363.217,BORDO
46,9262636.290,800767.915,-362.678,BORDO
47,9262636.512,800766.988,-362.689,BORDO
48,9262619.115,800762.088,-362.134,BORDO
49,9262619.120,800762.114,-362.133,BORDO
50,9262619.405,800761.266,-362.158,BORDO
51,9262593.720,800752.468,-361.351,BORDO
52,9262594.112,800751.509,-361.478,BORDO
53,9262578.024,800746.534,-360.975,BORDO
54,9262578.275,800745.760,-361.117,BORDO
55,9262556.190,800739.114,-360.333,BORDO
56,9262556.486,800738.269,-360.361,BORDO
57,9262539.222,800732.686,-360.257,BORDO
58,9262539.565,800731.909,-360.273,BORDO
59,9262523.121,800726.473,-359.891,BORDO
60,9262523.487,800725.807,-359.846,BORDO
61,9262503.695,800718.624,-359.565,BORDO
62,9262503.942,800718.004,-359.542,BORDO
63,9262488.680,800712.358,-359.250,BORDO
64,9262489.042,800711.571,-359.352,BORDO
65,9262482.842,800709.761,-359.208,BORDO
66,9262483.297,800708.950,-359.275,BORDO
67,9262476.713,800705.455,-359.197,BORDO
68,9262477.331,800704.725,-359.234,BORDO
